DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
29/03/2023,12:40,JM8658,Kisumu (KIS),Jambojet,DH8D (5Y-JXD),,Departed,13:13:00,33
29/03/2023,12:45,KQ250,Victoria (SEZ),Kenya Airways,E190 (5Y-FFG),,Departed,12:57:00,12
29/03/2023,13:00,KQ352,Juba (JUB),Kenya Airways,E90,,Departed,13:18:00,18
29/03/2023,13:00,KQ606,Mombasa (MBA),Kenya Airways,E90,,Departed,13:24:00,24
29/03/2023,13:00,WB453,Kigali (KGL),RwandAir,DH4,,Unknown,0:00:00,-780
29/03/2023,13:30,KQ656,Kisumu (KIS),Kenya Airways,E90,,Departed,13:35:00,5
29/03/2023,13:40,5H429,Eldoret (EDL),Fly540,DH8,,Unknown,0:00:00,-820
29/03/2023,13:45,G9735,Sharjah (SHJ),Air Arabia,A21N (A6-ATF),,Departed,14:14:00,29
29/03/2023,13:50,JM8642,Malindi (MYD),Jambojet,DH8D (5Y-JXM),,Departed,14:02:00,12
29/03/2023,14:00,5H401,Ukunda (UKA),Fly540,DH8,,Unknown,0:00:00,-840
29/03/2023,14:15,KQ414,Entebbe (EBB),Kenya Airways,E90,,Departed,14:18:00,3
29/03/2023,15:00,KQ608,Mombasa (MBA),Kenya Airways,73H,,Canceled,0:00:00,-900
29/03/2023,15:05,JM8654,Kisumu (KIS),Jambojet,DH8D (5Y-JXH),,Departed,15:16:00,11
29/03/2023,15:10,JM8668,Eldoret (EDL),Jambojet,DH8D (5Y-JXB),,Departed,15:41:00,31
29/03/2023,15:45,JM8692,Ukunda (UKA),Jambojet,DH8D (5Y-JXD),,Departed,16:08:00,23
29/03/2023,16:05,JM8720,Mombasa (MBA),Jambojet,DH8D (5Y-JXI),,Departed,17:38:00,33
29/03/2023,16:35,EK720,Dubai (DXB),Emirates,B77W (A6-EGO),,Departed,16:27:00,-8
29/03/2023,16:45,KQ202,Mumbai (BOM),Kenya Airways,B738 (5Y-KYD),,Departed,17:20:00,35
29/03/2023,17:00,KQ610,Mombasa (MBA),Kenya Airways,E90,,Departed,17:10:00,10
29/03/2023,17:10,KQ310,Dubai (DXB),Kenya Airways,B738 (5Y-CYB),,Departed,17:39:00,29
29/03/2023,17:20,JM8644,Malindi (MYD),Jambojet,DH8D (5Y-JXC),,Departed,18:13:00,53
29/03/2023,17:25,JM8612,Mombasa (MBA),Jambojet,DH8D (5Y-JXB),,Departed,18:52:00,27
29/03/2023,17:25,KQ670,Kisumu (KIS),Kenya Airways,E190 (5Y-FFK),,Departed,17:43:00,18
29/03/2023,17:30,KQ474,Kigali (KGL),Kenya Airways,E90,,Departed,17:47:00,17
29/03/2023,17:40,5H405,Mombasa (MBA),Fly540,DH8,,Unknown,0:00:00,-1060
29/03/2023,18:05,JM8656,Kisumu (KIS),Jambojet,DH8D (5Y-JXH),,Departed,18:15:00,10
29/03/2023,18:10,JM8664,Eldoret (EDL),Jambojet,DH8D (5Y-JXM),,Departed,17:41:00,-29
29/03/2023,18:10,QR1336,Doha (DOH),Qatar Airways,A332 (A7-ACT),,Departed,18:22:00,12
29/03/2023,18:30,KQ486,Dar-es-Salaam (DAR),Kenya Airways,E90,,Departed,18:44:00,14
29/03/2023,18:30,KQ494,Zanzibar (ZNZ),Kenya Airways,E90,,Departed,18:28:00,-2
29/03/2023,18:30,ET319,Addis Ababa (ADD),Ethiopian Airlines,B77W (ET-APY),,Departed,18:40:00,10
29/03/2023,18:40,5H409,Kisumu (KIS),Fly540,DH8,,Unknown,0:00:00,-1120
